FALSE,pair_id,topic,tagabawa,cebuano,filipino,english,,notes
FALSE,P552,vegetables_staples,manì,mani,mani,peanut,,
FALSE,P553,vegetables_staples,mitsili,mitsili,petsay,Chinese cabbage,,auto-split from slash values
FALSE,P554,vegetables_staples,mitsili,pitsay,petsay,Chinese cabbage,,auto-split from slash values
FALSE,P555,vegetables_staples,munggus,monggos,munggo,mung beans,,
FALSE,P556,vegetables_staples,pamintu,atsal,siling pula,bell pepper,,
FALSE,P557,vegetables_staples,pariyà,paliya,ampalaya,ampalaya,,
FALSE,P558,vegetables_staples,pitsay,pitsay,petsay,pechay,,
FALSE,P559,vegetables_staples,pusù ka saging,puso sa saging,puso ng saging,banana blossom,,
FALSE,P560,vegetables_staples,ripulyu,ripolyo,repolyo,cabbage,,
FALSE,P561,vegetables_staples,sibuyas,sibuyas,sibuyas,green onion,,auto-split from slash values
FALSE,P562,vegetables_staples,bumbay,bumbay,sibuyas,onion,,auto-split from slash values
FALSE,P563,vegetables_staples,sitaw,balatong,sitaw,long beans,,auto-split from slash values
FALSE,P564,vegetables_staples,sitaw,batong,sitaw,long beans,,auto-split from slash values
FALSE,P565,vegetables_staples,suwibin,soybin,soybin,soybeans,,
FALSE,P566,vegetables_staples,tagótóng,talong,talong,eggplant,,
FALSE,P567,vegetables_staples,tábbu,tubo,tubo,sugar cane,,
FALSE,P568,vegetables_staples,ubi,ubi,ubi,purple yam,,
FALSE,P569,vegetables_staples,ukra,okra,okra,okra,,
FALSE,P570,vegetables_staples,upu,upo,upo,white squash,,
FALSE,P571,,Mga prutas,Mga prutas,Mga prutas,Fruits,,
FALSE,P572,fruits,aranghita,naranghita,dalanghita,orange,,
FALSE,P573,fruits,badak,nangka,langka,jackfruit,,
FALSE,P574,fruits,rambutan,rambutan,rambutan,rambutan,,auto-split from slash values
FALSE,P575,fruits,barangas,rambutan,rambutan,rambutan,,auto-split from slash values
FALSE,P576,fruits,bayabas,bayabas,bayabas,guava,,
FALSE,P577,fruits,bukadu,abokado,abokado,avocado,,
FALSE,P578,fruits,butung,butong,"buko, mura",young coconut,,
FALSE,P579,fruits,duryan,duryan,durian,durian,,
FALSE,P580,fruits,kakaw,kakaw,kakaw,cacao,,auto-split from slash values
FALSE,P581,fruits,kakó,kakaw,kakaw,cacao,,auto-split from slash values
FALSE,P582,fruits,kaymitu,kaymito,kaimito,star apple,,auto-split from slash values
FALSE,P583,fruits,kaymitu,kaymito,kaymito,star apple,,auto-split from slash values
FALSE,P584,fruits,kayubana,labana,guyabano,guavano,,auto-split from slash values
FALSE,P585,fruits,kayubana,gwayabano,guyabano,soursop,,auto-split from slash values
FALSE,P586,fruits,láppù,lubi,niyog,coconut,,
FALSE,P587,fruits,limunsitu,limonsito,kalamansi,calamansi,,
FALSE,P588,fruits,lukban,baongon,suha,pomelo,,auto-split from slash values
FALSE,P589,fruits,ássám,baongon,suha,pomelo,,auto-split from slash values
FALSE,P590,fruits,manggà,mangga,mangga,mango,,
FALSE,P591,fruits,marang,marang,marang,marang,,
FALSE,P592,fruits,saging,saging,saging,banana,,
FALSE,P593,fruits,santul,santol,santol,santol,,
FALSE,P594,fruits,tarum,kapayas,papaya,papaya,,
FALSE,P595,fruits,tubuwa,lansones,lansones,lansones,,
FALSE,P596,fruits,tunyab,pinya,pinya,pineapple,,
FALSE,P597,,Karni,Karne,Karne,meat,,
FALSE,P598,meat,karni kasu,karne sa iro,karning aso,dogmeat,,
FALSE,P599,meat,karnik babuy,karne sa baboy,karning baboy,pork,,
FALSE,P600,meat,karnik babuy ta mabánnás,karne sa baboy ihalas,karning baboy damo,wild pig,,meat
FALSE,P601,meat,karnik baka,karne sa baka,karning baka,beef,,
FALSE,P602,meat,karnik kambing,karne sa kanding,karning kambing,goat,,
FALSE,P603,meat,karnik karabó,karne sa kalabaw,karning kalabaw,carabeef,,auto-split from slash values
FALSE,P604,meat,karnik karabó,kabaw,karning kalabaw,carabeef,,auto-split from slash values
FALSE,P605,meat,karnik karnéru,karne sa karnero,karning tupa,lamb,,auto-split from slash values
FALSE,P606,meat,bilibili,karne sa karnero,karning tupa,lamb,,auto-split from slash values
FALSE,P607,meat,karnik manuk,karne sa manok,karning manok,chicken,,
FALSE,P608,meat,karni kósa,karne sa binaw,karning usa,venison,,auto-split from slash values
FALSE,P609,meat,karnik saladáng,karne sa binaw,karning usa,venison,,auto-split from slash values
FALSE,P610,meat,karnik patu,karne sa pato,karning pato,duck,,
FALSE,P611,,Ginámmán ,Imnonon,Inumin,Beverages,,
FALSE,P612,beverages,gatas,gatas,gatas,milk,,
FALSE,P613,beverages,kapi,kape,kape,coffee,,
FALSE,P614,beverages,kuk,kok,kok,Coca-Cola,,auto-split from slash values
FALSE,P615,beverages,kukakula,kokakola,Coca-Cola,Coca-Cola,,auto-split from slash values
FALSE,P616,beverages,luya,luy-a,luya,ginger,,
FALSE,P617,beverages,sakulati,sikwate,sikulate,chocolate,,
FALSE,P618,beverages,suwibin,soybin,soybin,soybean coffee,,
FALSE,P619,beverages,támmák ka prutas,dugà,katas ng prutas,fruit juice,,
FALSE,P620,beverages,tsa,tsa,tsa,tea,,
FALSE,P621,beverages,wayig,tubig,tubig,water,,
FALSE,P622,,Mga Ngadág,Mga Baho,Mga Amoy,Smells,,
FALSE,P623,smells,madat é ngadág,lain ug baho,masangsang,body odor,,of humans and animals
FALSE,P624,smells,makábbó,antud,amoy sunog na pagkain,smell of burned food,,
FALSE,P625,smells,malangig,langsa,malangsa,fishy smell,,auto-split from slash values
FALSE,P626,smells,malangig,langsa,malangsa,smell of blood,,auto-split from slash values
FALSE,P627,smells,malansi / maransi,antud,amoy sunog / balahibo / bohok,smell of burned hair / feathers,,manual check: slash values
FALSE,P628,,,,,,,
FALSE,P629,smells,mammut,humut,mabango,fragrant,,
FALSE,P630,smells,mawù,baho,mabaho,foul smell,,
FALSE,P631,,Ágbálli asta ághangyù,Pagpalit ug paghangyo ,Pagbili at pagtawad,Buying and bargaining,,
FALSE,P632,buying_bargaining,Tagpirayé iyarda,Tagpila ang yarda,Magkano ang yarda,How much is a yard,,auto-split from slash values
FALSE,P633,buying_bargaining,mitru kani tila ni?,mitro niining tela ha?,metro ng telang ito?,meter of this cloth?,,auto-split from slash values
FALSE,P634,buying_bargaining,Mahal sunnud! Mému mangyù?,Mahal kaayo! Puyde ba makahanyo?,Ang mahal naman! Maaari bang tumawad?,It's too expensive! Can you give me a discount?,,auto-split from slash values
FALSE,P635,buying_bargaining,Duwán pa hangyù?,Naa pa bay hangyo?,May tawad pa ba?,Is there a discount?,,auto-split from slash values
FALSE,P636,buying_bargaining,Sunnud dán baratu ni,Barato na kaayo ni,Napakamura na ito,It's quite inexpensive as it is,,
FALSE,P637,buying_bargaining,Pirayé kalyag nu?,Pila ang imong gusto?,Magkano ang gusto mo?,How much would you like to pay for it?,,
FALSE,P638,buying_bargaining,Dugangi nu dád délák,Dugangi na lang ug gamay,Dagdagan mo naman ng kaunti,Offer a little more,,
FALSE,P639,buying_bargaining,Bággén nu ka lima pisus?,Ihatag ba nimo ug singko pisos?,Ibibigay mo ba ng limang piso?,Can you give it to me for P5.00?,,
FALSE,P640,buying_bargaining,Óó. Pira iyardayé kalyag nu?,Sigi. Pila ka yarda ang imong kuhaon?,Sige. Ilang yarda ang kukunin mo?,Ok. How many yards do you want?,,
FALSE,P641,buying_bargaining,"Mam, malyag ka málli ka bukug?","Mam, gusto ka ba mopalit ug basket?","Ale, gusto mo bang bumili ng basket?","Ma'am, would you like to buy a basket?",,
FALSE,P642,buying_bargaining,Sadanné gimu kanan?,Kinsa ang naghimo niana?,Sino ang gumawa niyan?,Who made it?,,
FALSE,P643,buying_bargaining,Sakánné gimu,Akoy naghimo,Ako po ang gumawa,I made it myself,,
FALSE,P644,buying_bargaining,Igbállad dád ni,Gikinamot lang ni,Gawa po ito sa kamay,It's handmade,,auto-split from slash values
FALSE,P645,buying_bargaining,Igimu ni ka bállad,Gikinamot lang ni,Gawa po ito sa kamay,It's handmade,,auto-split from slash values
FALSE,P646,buying_bargaining,Igpamánnu nu na ikakatig ka gimu ka bukug?,Giunsa nimo pagkahibalo sa paghimo ug basket?,Paano kang natutong gumawa ng basket?,How did you learn to make baskets?,,
FALSE,P647,buying_bargaining,Igtádduanna katô innà ku,Gitudloan ko sa akong inahan,Tinuruan po ako ng nanay ko,I was taught by my mother,,
FALSE,P648,,Ágkarga asta ágsaké,Pagkarga ug pagsakay,Pagkakarga at pagsakay,Cargo and transportation,,
FALSE,P649,cargo_transportation,"Tiyù, sakán dánné mid","Nong, ako nay modala","Mama, ako na po ang magdadala","Sir, I'll carry it",,
FALSE,P650,cargo_transportation,"Tógón din, duwán dán mid","Sagdi lang, naa nay modala","Huwag na, may nagdadala na","Never mind, someone is carrying it already",,
FALSE,P651,cargo_transportation,"Tagù nu yan sábbad, sakán dánné mid","Ibilin ang usa, ako nay modala",Iwan mo na yan at ako na ang magdadala,Leave that one; I'll carry it,,
FALSE,P652,cargo_transportation,Pira manné pamuyuán nu kani langun?,Pilay kobra nimo niining tanan?,Magkano ang sisingilin mo sa lahat ng ito?,How much will you charge for all this?,,
FALSE,P653,cargo_transportation,Mahal sunnud! Bággéyan ta dád ka sapulù pisus,Mahal man kaayo! Tagaan ta lang ug dyis pisos,Ang mahal naman! Sampung piso na lang,It's too much! I'll give you only ten pesos,,
FALSE,P654,cargo_transportation,Madun ka tut Davao?,Moadto ka ba sa Davao?,Pupunta ka ba sa Davao?,Are you going to Davao City?,,
FALSE,P655,cargo_transportation,"Óó, ándinné sakayan ku madun diyan?","Oo, unsa ang akong sakyan moadto didto?","Oo, ano ang aking sasakyan papunta roon?","Yes, what do I ride to get there?",,
FALSE,P656,cargo_transportation,Saké ka kanan bus,Sakay anang bus,Sumakay ka sa bus na iyan,Ride that bus,,
FALSE,P657,cargo_transportation,Tákkás ka kanak,Uban sa ako,Samahan mo ako,Come with me,,
FALSE,P658,cargo_transportation,Talundug ka kanak,Sunod nako,Sumunod ka sa akin,Follow me,,
FALSE,P659,cargo_transportation,Ándayég sakayanan katô ágsadun tut Kidapawan?,Asa ang sakyanan padulong sa Kidapawan?,Saan ang sakayan patungo sa Kidapawan?,Where is the place to board for Kidapawan?,,
FALSE,P660,cargo_transportation,"Diyan táppad, asal madigár pa ka sumaké kak pidikab","Didto dapit, pero maayo pa mosakay ka ug pedikab","Sa dako roon, pero mabuti pa ay sumakay ka ng traysikel","Over there, but it's better for you to ride a pedicab",,
FALSE,P661,cargo_transportation,Ándinné kadugayi katô biyahi ágsadun tut Cotabato?,Unsa kadugayon sa biyahi padulong sa Cotabato?,Gaano katagal ang biyahe papuntang Cotabato?,How long is the trip to Cotabato City?,,
FALSE,P662,cargo_transportation,Duwán mga tállu uras,Mga tulo ka oras,Mga tatlong oras,About three hours,,
FALSE,P663,cargo_transportation,"Ándin, tumánnó ki?","Unsa, magbalon ba ta?",Magbabaon ba tayo?,Shall we take something to eat on the way?,,
FALSE,P664,cargo_transportation,Ándayé pónógan nu?,Asa ka manaog?,Saan ka bababa?,Where will you get off?,,
FALSE,P665,cargo_transportation,Mákkás ka tiyù,"Mouban ka ba, tiyo","Sasama ka ba, t'yong","Are you coming, uncle",,auto-split from slash values
FALSE,P666,cargo_transportation,tiyà?,tiya?,t'yang?,auntie?,,auto-split from slash values
FALSE,P667,cargo_transportation,Saké kad. Taguán kud tô piniddan nu tun datas kani dyip,Sakay na. Ibutang na nako ang karga nimo sa taplod sa dyip,Sakay na. Ilalagay ko na ang iyong kargada sa ibabaw ng dyip,Get on. I'll just put your cargo on top of the jeep,,
FALSE,P668,cargo_transportation,Pirayé pliti asta ni piniddan ku?,Pila ang akong pasahi ug sa akong karga?,Magkano ang aking pasahe pati na kargada?,How much is the fare for me and my cargo?,,
FALSE,P669,cargo_transportation,Mónógga tut palingki,Manaog ko sa palengke,Bababa ako sa palengke,I'll get off at the market,,
FALSE,P670,cargo_transportation,Diritsu ka,Pagdiritso,Dumiretso ka,Go straight ahead,,
FALSE,P671,cargo_transportation,Pakawanan tut duwán ágsuwéyan,Patoo sa naay eskina,Pakanan tayo sa kanto,Turn right at the corner,,auto-split from slash values
FALSE,P672,cargo_transportation,Pakawanan tut duwán ágsuwéyan,kanto,Pakanan tayo sa kanto,Turn right at the corner,,auto-split from slash values
FALSE,P673,cargo_transportation,Pébang tut dadan dutun ta tulay,Pawala sa unahan sa tulay,Pakaliwa tayo pagkalampas ng tulay,Turn left after the bridge,,
FALSE,P674,cargo_transportation,Sumódô tut duwán ágsuwéyan,Hunong sa eskina,Huminto ka sa kanto,Stop at the corner,,auto-split from slash values
FALSE,P675,cargo_transportation,Sumódô tut duwán ágsuwéyan,kanto,Huminto ka sa kanto,Stop at the corner,,auto-split from slash values
FALSE,P676,cargo_transportation,Kannunnad mónóg,Manaog na ako dinhi,Bababa na ako rito,I'll get off here,,
FALSE,P677,,Ni timpu ta,Ang panahon,Kalagayan ng panahon,The seasons,,
FALSE,P678,seasons,Madigár su ándà dán udan,Maayo kay wala na moulan,Mabuti at hindi na umuulan,It's good because it's no longer raining,,
FALSE,P679,seasons,Ménit sunnud su ágsánnang dán ni,Init kaayo kay ting-init naman karon,Napakainit dahil tag-init na ngayon,It's very hot because it's dry season,,
FALSE,P680,seasons,Magánnó,Tugnaw,Maginaw,It's cold,,
FALSE,P681,seasons,Ágkaramag sunnud su duwán bagyu tut Bicol,Gahangin kaayo kay naay bagyo sa Bicol,Napakahangin dahil may bagyo sa Bicol,It's very windy because there is a typhoon in Bicol,,
FALSE,P682,seasons,Libutaánné dalan su gudan dán,Lapok ang dalan kay ting-ulan na,Maputik ang daan dahil tag-ulan,The road is muddy because it's rainy season,,
FALSE,P683,seasons,Mabákkár tuu tô udan bani,Kusog kaayo ang ulan gahapon,Umulan ng napakalakas kahapon,It rained very hard yesterday,,
FALSE,P684,seasons,Mikannówa katô kilat dukilám,Nakamata ko sa dalogdog gabii,Ginising ako ng kulog kagabi,The thunder woke me up last night,,
FALSE,P685,seasons,Ménit dini asal magánnó tut pabungan,Init diri pero tugnaw sa bukid,Mainit dito pero malamig sa bundok,It's hot here but it's cold in the mountains,,
FALSE,P686,,Mga insà,Mga pangutana,Mga tanong,Questions,,
FALSE,P687,questions,Ándin ni?,Unsa ni?,Ano ito?,What is this?,,
FALSE,P688,questions,Ándin yan?,Unsa na?,Ano iyan?,What is that?,,near; auto-split from slash values
FALSE,P689,questions,Ándin tô?,Unsa to?,Ano yun?,What is that?,,far; auto-split from slash values
FALSE,P690,questions,Ándin tô dadan diyan?,Unsa nang dapit didto?,Anô ba yong naroon?,What is that over there?,,
FALSE,P691,questions,Kadángngan?,Kanus-a?,Kailan?,When?,,
FALSE,P692,questions,Sadan?,Kinsa?,Sino?,Who?,,
FALSE,P693,questions,Sadan?,Kang kinsa?,Kanino?,Whose?,,
FALSE,P694,questions,Ánda?,Asa?,Saan?,Where?,,
FALSE,P695,questions,Manan?,Ngano?,Bakit?,Why?,,
FALSE,P696,questions,Pamánnun?,Unsaon?,Paano?,How?,,
FALSE,P697,questions,Manan ka dì?,Nganong dili?,Bakit hindi?,Why not?,,
FALSE,P698,questions,Ándayé kabálliyan ku ka newspaper?,Asa ko makapalit ug pamantalaan?,Saan ako puedeng bumili ng dyaryo?,Where can I buy a newspaper?,,
FALSE,P699,questions,Ánda táppaddé ágpapiyaan ka rilu?,Asa dapit magpaayo'g rilo?,Saan maaaring magpaayos ng relo?,Where is the watch repair shop?,,
FALSE,P700,questions,Ándayé duwán dintista?,Asa ang naay dentista?,Saan mayroon dentista?,Where is a dentist?,,
FALSE,P701,questions,Ándayé ágkangayan ka tikit ka iruplanu?,Asa mukoha ug tiket sa iroplano?,Saan makabibili ng tiket ng eroplano?,Where are airplane tickets sold?,,
FALSE,P702,questions,Ánda tô dalan ágsadun tut palingki?,Asa ang dalan paingon sa palengke?,Saan ang daang papuntang palengke?,Which is the way to the market?,,
FALSE,P703,questions,Ándayé madigár ágkannanan,Asa ang maayong kan-anan,Saan ang magandang kainan,Where is a good place to eat,,auto-split from slash values
FALSE,P704,questions,restawran?,restawran?,restauran?,restaurant?,,auto-split from slash values
FALSE,P705,questions,Madiyù pa ka Davao?,Mas layo pa ba sa Davao?,Mas malayo pa ba sa Davao?,Is it still far to Davao City?,,
FALSE,P706,questions,Ánda tô kasilyas?,Asa ang kasilyas?,Nasaan ang kasilyas,Where is the comfort room?,,auto-split from slash values
FALSE,P707,questions,Ánda tô kasilyas?,Asa ang kasilyas?,kobeta?,Where is the comfort room?,,auto-split from slash values
FALSE,P708,questions,Ándayé góddóan nu,Asa ka,Saan ka,Where are you going?,,singular
FALSE,P709,questions,yu?,Asa mo nagpuyo?,Saan kayo nakatira?,Where do you live?,,need to double check
FALSE,P710,questions,Mémuwù litratuwan kus kuna?,Mahimo bang retratohan ta ka?,Maari ba kitang litratuhan?,May I take your picture?,,
FALSE,P711,questions,Salamat,Salamat,Salamat po,Thank you,,
FALSE,P712,,Tut iskwilaa,Sa eskwelahan,Sa paaralan,At school,,
FALSE,P713,at_school,Kumanta kid katô Pambansang Awit,Mokanta na ta sa Pambansang Awit,Awitin na natin ang Pambansang Awit,We will now sing the National Anthem,,
FALSE,P714,at_school,Paminág kó pa,Paminaw sa mo,Makinig muna kayo,Listen,,plural
FALSE,P715,at_school,Piyà kó paminág,Paminaw mog maayo,Makinig kayong mabuti,Listen carefully,,plural
FALSE,P716,at_school,Taba yu tô insà,Tubaga ninyo ang pangutana,Sagutin ninyo ang tanong,Answer the question,,plural
FALSE,P717,at_school,Ággár yu basayi,Basaha'g kusog,Basahin ninyo ng malakas,Read aloud,,plural
FALSE,P718,at_school,Lagénut yu dád kag basa kó,Hinaya lang ninyo'g basa,Basahin (ninyo) ng tahimik,Read silently,,plural
FALSE,P719,at_school,Uman yu ni istudyuwi,Tun-i ninyo ni pag-usab,Pag-aralan ninyo itong muli,Study it again,,plural
FALSE,P720,at_school,"Minsà a. Na, taba yu","Mangutana ko. Unya, tubaga ninyo","Magtatanong ako. Tapos, sagutin ninyo","I'll ask a question. Then, you answer",,plural
FALSE,P721,at_school,Tindág ka,Magtindog ka,Tumayo ka,Stand up,,singular
FALSE,P722,at_school,kó,mo,kayo,Stand up,,need to double check
FALSE,P723,at_school,Unsad ka,Maglingkod ka,Maupo ka,Sit down,,singular
FALSE,P724,at_school,kó,mo,kayo,Sit down,,need to double check
FALSE,P725,at_school,"Atin ikatigan yu, palayat yu yan bállad yu","Kong kahibalo mo sa tubag, ipataas ang inyong kamot","Kung alam ninyo ang sagot, itaas ninyo ang inyong kamay","If you know the answer, raise your hands",,plural
FALSE,P726,at_school,Ággár nu kag kagi ka. Dì ké pakadinág,Kusga pagsulti. Di mi kadungog,Lakasan mo. Hindi namin marinig,Speak louder. We cannot hear you,,excl
FALSE,P727,at_school,Ándinné lumun ta simag?,Unsa ang atong buhaton ugma?,Anong gagawin natin bukas?,What will we do tomorrow?,,incl
FALSE,P728,at_school,Madigár,Maayo,Magaling,Good,,manual check: slash values
FALSE,P729,at_school,Madigár,Maayo,Mabuti,Well behaved,,
FALSE,P730,at_school,Madigár,Maayo,Mahusay,Good,,
FALSE,P731,at_school,Nángngà,Insakto,Tama,Right,,manual check: slash values
FALSE,P732,at_school,Nángngà, Husto,Tama,Enough,,
FALSE,P733,at_school,Ánnà nángngà,Sayop,Mali,Wrong,,manual check: slash values
FALSE,P734,at_school,Ánnà nángngà,Dili insakto,Mali,Incorrect,,
FALSE,P735,at_school,Ánnà nángngà,Dili insakto,Mali,Not enough,,
FALSE,P736,,Uras,Oras,Pagsasabi ng oras,Time,,
FALSE,P737,time,Ándin urasi tumigkané tô miting?,Unsang orasa mosugod ang miting?,Anong oras magsisimula ang pulong,What time does the meeting start?,,auto-split from slash values
FALSE,P738,time,Ándin urasi tumigkané tô miting?,Unsang orasa mosugod ang miting?,miting?,What time does the meeting start?,,auto-split from slash values
FALSE,P739,time,Alas nuwibi ka sállám,Alas nwebe sa buntag,Alas nuwebe ng umaga,Nine o'clock in the morning,,
FALSE,P740,time,Ala una ka mapun,Ala una sa hapon,Ala una ng hapon,One o'clock in the afternoon,,
FALSE,P741,time,Alas dus midya ka mapun,Alas dos medya sa hapon,Alas dos medya ng hapon,At 2:30 pm,,
FALSE,P742,time,Alas kuwatru kuwarinta singku ka mapun,Alas kwatro kwarenta i singko sa hapon,Alas kuwatro kuwarenta'y singko ng hapon,At 4:45 pm,,
FALSE,P743,time,Madugé pa?,Madugay pa ba?,Matatagalan pa ba?,Will it be a long time yet?,,
FALSE,P744,time,Ándin dánné uras?,Unsa nay oras?,Anong oras na?,What time is it?,,
FALSE,P745,time,Mikatapuri kad,Naulahi na ka,Huli ka na,You are late,,singular
FALSE,P746,time,kód,mo,Huli na kayo,You are late,,need to double check
FALSE,P747,,Álló asta dukilám,Adlaw ug gabii ,Araw at Gabi,Day and night ,,
FALSE,P748,day_night,álló,adlaw,araw,day,,auto-split from slash values
FALSE,P749,day_night,álló,adlaw,araw,daytime,,auto-split from slash values
FALSE,P750,day_night,dukilám,gabii,gabi,night,,auto-split from slash values
FALSE,P751,day_night,dukilám,gabii,gabi,nighttime,,auto-split from slash values
FALSE,P752,day_night,nigó,karon,ngayon,today,,
FALSE,P753,day_night,nigó dukilám,karong gabii,ngayong gabi,tonight,,
FALSE,P754,day_night,bani,gahapon,kahapon,yesterday,,
FALSE,P755,day_night,géna dukilám,kagabii,kagabi,last night,,auto-split from slash values
FALSE,P756,day_night,bani dukilám,kagabii,kagabi,last night,,auto-split from slash values
FALSE,P757,day_night,simag,ugma,bukas,tomorrow,,
FALSE,P758,day_night,simag ka dukilám,ugma sa gabii,bukas ng gabi,tomorrow night,,
FALSE,P759,day_night,tô iduwaan,niadtong usa ka adlaw,kamakalawa,day before yesterday,,
FALSE,P760,day_night,tô sábbad dukilám,niadtong usa ka gabii,kamakalawa ng gabi,night before last,,
FALSE,P761,day_night,bani mapun,gahapon sa hapon,kahapon ng hapon,yesterday afternoon,,
FALSE,P762,day_night,murusmalló,kaadlawon,madaling-araw,before dawn,,
FALSE,P763,day_night,ágkallówalló,kaadlawon,madaling-araw,early dawn,,auto-split from slash values
FALSE,P764,day_night,ágkallówalló,kaadlawon,madaling-araw,daybreak,,auto-split from slash values
FALSE,P765,day_night,ágbáttu tô álló,pagsubang sa adlaw,pagsikat ng araw,sunrise,,auto-split from slash values
FALSE,P766,day_night,ágsilat tô álló,pagsubang sa adlaw,pagsikat ng araw,sunrise,,auto-split from slash values
FALSE,P767,day_night,sállám,buntag,umaga,morning,,
FALSE,P768,day_night,malássád álló,udto,tanghali,noon,,
FALSE,P769,day_night,mapun,hapon,hapon,afternoon,,auto-split from slash values
FALSE,P770,day_night,mapun dán,hapon,hapon,late afternoon,,auto-split from slash values
FALSE,P771,day_night,ágkabariring dán é álló,mga ala una sa hapon,mga alauna ng hapon,early afternoon,,1:00 p.m.
FALSE,P772,day_night,ágsalláp tô álló,pagsalup sa adlaw,paglubog ng araw,sunset,,
FALSE,P773,day_night,mantu dukilám,bag-ong gabii,gabi,evening,,
FALSE,P774,day_night,ágkasagkup,kilumkilum,takipsilim,twilight,,
FALSE,P775,day_night,mangittáng,ngitngit,madilim,dark,,
FALSE,P776,day_night,kangittángngan,kangitngit,kadiliman,darkness,,
FALSE,P777,day_night,tángngà ka dukilám,tungang gabii,hating gabi,midnight,,
FALSE,P778,day_night,ágsilat tô bulan,pagsubang sa bulan,pagsikat ng buwan,moonrise,,
FALSE,P779,,Timpu,Panahon,Panahon,Time expressions,,
FALSE,P780,time_expressions,géna,ganiha,kanina,a while ago,,
FALSE,P781,time_expressions,nigó sállám,karong buntag,ngayong umaga,this morning,,
FALSE,P782,time_expressions,nigó mapun,karong hapon,kaninang hapon,this afternoon,,
FALSE,P783,time_expressions,nigó,karon,ngayon,now,,
FALSE,P784,time_expressions,kani dán,unya na,mamaya na,later on,,
FALSE,P785,time_expressions,kani pa,unya pa,mamaya pa,later,,indefinite time
FALSE,P786,time_expressions,sábbad álló asta sábbad dukilám,usa ka adlaw ug usa ka gabii,isang araw at isang gabi,one day,,24-hour period
FALSE,P787,time_expressions,sábbad linggu,usa ka semana,isang linggo,one week,,
FALSE,P788,time_expressions,sábbad bulan,usa ka bulan,isang buwan,one month,,
FALSE,P789,time_expressions,sábbad ámmé,usa ka tuig,isang taon,one year,,
FALSE,P790,time_expressions,saru simagé,ugma damlag,balang-araw,someday,,
FALSE,P791,time_expressions,állówálló,adlaw-adlaw,araw-araw,every day,,auto-split from slash values
FALSE,P792,time_expressions,tukid kalló,kada adlaw,araw-araw,every day,,auto-split from slash values
FALSE,P793,time_expressions,linggulinggu,kada semana,linggo-linggo,every week,,weekly; auto-split from slash values
FALSE,P794,time_expressions,tukid ka linggu,kada semana,linggo-linggo,every week,,weekly; auto-split from slash values
FALSE,P795,time_expressions,mantu pa,karon lang,kailan lang,recently,,auto-split from slash values
FALSE,P796,time_expressions,ni pa gó,bag-o pa,ngayon lang,recently,,auto-split from slash values
FALSE,P797,time_expressions,nit dumunggù linggu,sunod semana,sa susunod na linggo,next week,,
FALSE,P798,time_expressions,nigó linggu ni,karong semanaha,ngayong linggo,this week,,
FALSE,P799,time_expressions,iglabé linggu,miaging semana,nakaraang linggo,last week,,
FALSE,P800,time_expressions,iglabé ámmé,miaging tuig,nakaraang taon,last year,,
FALSE,P801,time_expressions,nigó ámmé ni,karong tuiga,ngayong taon,this year,,
FALSE,P802,time_expressions,nit dumunggù ámmé,sa sunod tuig,sa susunod na taon,next year,,
FALSE,P803,time_expressions,dángngan,kaniadto,nakaraan,before,,auto-split from slash values
FALSE,P804,time_expressions,sayyan,kaniadto,nakaraan,long ago,,auto-split from slash values
FALSE,P805,,Salapì,Kwarta,Pera,Money,,
FALSE,P806,money,dyis sintabus,dyes sintabos,diyes,ten centavos,,auto-split from slash values
FALSE,P807,money,dyis sintabus,dyes sintabos,diyes sentimos,ten centavos,,auto-split from slash values
FALSE,P808,money,bayinti sintabus,baynte sintabos,bente sentimos,twenty centavos,,auto-split from slash values
FALSE,P809,money,bayinti sintabus,baynte sintabos,bente sentimos,twenty centavos,,auto-split from slash values
FALSE,P810,money,singkuwinta sintabus,singkwenta sintabos,singkwenta sentimos,fifty centavos,,auto-split from slash values
FALSE,P811,money,singkuwinta sintabus,singkwenta sintabos,singkwenta sentimos,fifty centavos,,auto-split from slash values
FALSE,P812,money,pisus,pisos,piso,one peso,,auto-split from slash values
FALSE,P813,money,pisus,pisos,piso,one peso,,auto-split from slash values
FALSE,P814,money,"sábbad pisus, bayinti sintabus",uno baynte,uno beinte,one twenty,,auto-split from slash values
FALSE,P815,money,"sábbad pisus, bayinti sintabus",uno baynte,uno beinte,one twenty,,auto-split from slash values
FALSE,P816,money,"sábbad pisus, singkuwinta sintabus",uno singkwenta,uno singkwenta,one fifty,,auto-split from slash values
FALSE,P817,money,"sábbad pisus, singkuwinta sintabus",uno singkwenta,uno singkwenta,one fifty,,auto-split from slash values
FALSE,P818,money,lima pisus,singko pisos,limang piso,five pesos,,auto-split from slash values
FALSE,P819,money,lima pisus,singko pisos,limang piso,five pesos,,auto-split from slash values
FALSE,P820,,Giyap,Pag-ihap,Pagbilang,Counting,,
FALSE,P821,counting,ássà,usa,isa,one,,auto-split from slash values
FALSE,P822,counting,unu,uno,uno,one,,auto-split from slash values
FALSE,P823,counting,duwa,duha,dalawa,two,,auto-split from slash values
FALSE,P824,counting,dus,dos,dos,two,,auto-split from slash values
FALSE,P825,counting,tállu,tulo,tatlo,three,,auto-split from slash values
FALSE,P826,counting,trés,tres,tres,three,,auto-split from slash values
FALSE,P827,counting,áppat,upat,apat,four,,auto-split from slash values
